Task ID,Task Name,Task Category,Task Description,Task Check,Task Virtual Reward,Task Real Reward
2606,Social Task 2606: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"156 XP, 26 coins",None
2607,Education Task 2607: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"157 XP, 27 coins",None
2608,Creative Task 2608: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"158 XP, 28 coins",None
2609,Engineering Task 2609: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"159 XP, 29 coins",None
2610,Engineering Task 2610: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"160 XP, 20 coins",None
2611,Social Task 2611: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"161 XP, 21 coins",None
2612,Survival Task 2612: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"162 XP, 22 coins",None
2613,Social Task 2613: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"163 XP, 23 coins",None
2614,Engineering Task 2614: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"164 XP, 24 coins",None
2615,Innovation Task 2615: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"165 XP, 25 coins",None
2616,Exploration Task 2616: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"166 XP, 26 coins",None
2617,Exploration Task 2617: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"167 XP, 27 coins",None
2618,Innovation Task 2618: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"168 XP, 28 coins",None
2619,Exploration Task 2619: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"169 XP, 29 coins",None
2620,Governance Task 2620: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"170 XP, 20 coins","Exclusive knowledge, priority access to research"
2621,Spiritual Task 2621: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"171 XP, 21 coins",None
2622,Survival Task 2622: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"172 XP, 22 coins",None
2623,Education Task 2623: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"173 XP, 23 coins",None
2624,Education Task 2624: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"174 XP, 24 coins",None
2625,Exploration Task 2625: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"100 XP, 25 coins",None
2626,Governance Task 2626: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"101 XP, 26 coins",None
2627,Engineering Task 2627: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"102 XP, 27 coins",None
2628,Education Task 2628: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"103 XP, 28 coins",None
2629,Exploration Task 2629: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"104 XP, 29 coins",None
2630,Survival Task 2630: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"105 XP, 20 coins",None
2631,Survival Task 2631: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"106 XP, 21 coins",None
2632,Engineering Task 2632: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"107 XP, 22 coins",None
2633,Innovation Task 2633: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"108 XP, 23 coins",None
2634,Innovation Task 2634: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"109 XP, 24 coins",None
2635,Exploration Task 2635: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"110 XP, 25 coins",None
2636,Exploration Task 2636: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"111 XP, 26 coins",None
2637,Education Task 2637: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"112 XP, 27 coins",None
2638,Innovation Task 2638: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"113 XP, 28 coins",None
2639,Innovation Task 2639: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"114 XP, 29 coins",None
2640,Creative Task 2640: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"115 XP, 20 coins","Exclusive knowledge, priority access to research"
2641,Innovation Task 2641: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"116 XP, 21 coins",None
2642,Engineering Task 2642: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"117 XP, 22 coins",None
2643,Governance Task 2643: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"118 XP, 23 coins",None
2644,Fitness Task 2644: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"119 XP, 24 coins",None
2645,Social Task 2645: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"120 XP, 25 coins",None
2646,Governance Task 2646: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"121 XP, 26 coins",None
2647,Governance Task 2647: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"122 XP, 27 coins",None
2648,Fitness Task 2648: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"123 XP, 28 coins",None
2649,Spiritual Task 2649: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"124 XP, 29 coins",None
2650,Education Task 2650: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"125 XP, 20 coins",None
2651,Fitness Task 2651: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"126 XP, 21 coins",None
2652,Innovation Task 2652: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"127 XP, 22 coins",None
2653,Governance Task 2653: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"128 XP, 23 coins",None
2654,Spiritual Task 2654: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"129 XP, 24 coins",None
2655,Social Task 2655: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"130 XP, 25 coins",None
2656,Social Task 2656: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"131 XP, 26 coins",None
2657,Creative Task 2657: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"132 XP, 27 coins",None
2658,Innovation Task 2658: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"133 XP, 28 coins",None
2659,Creative Task 2659: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"134 XP, 29 coins",None
2660,Spiritual Task 2660: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"135 XP, 20 coins","Exclusive knowledge, priority access to research"
2661,Social Task 2661: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"136 XP, 21 coins",None
2662,Governance Task 2662: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"137 XP, 22 coins",None
2663,Survival Task 2663: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"138 XP, 23 coins",None
2664,Survival Task 2664: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"139 XP, 24 coins",None
2665,Survival Task 2665: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"140 XP, 25 coins",None
2666,Innovation Task 2666: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"141 XP, 26 coins",None
2667,Social Task 2667: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"142 XP, 27 coins",None
2668,Fitness Task 2668: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"143 XP, 28 coins",None
2669,Engineering Task 2669: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"144 XP, 29 coins",None
2670,Social Task 2670: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"145 XP, 20 coins",None
2671,Spiritual Task 2671: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"146 XP, 21 coins",None
2672,Innovation Task 2672: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"147 XP, 22 coins",None
2673,Creative Task 2673: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"148 XP, 23 coins",None
2674,Governance Task 2674: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"149 XP, 24 coins",None
2675,Survival Task 2675: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"150 XP, 25 coins",None
2676,Fitness Task 2676: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"151 XP, 26 coins",None
2677,Survival Task 2677: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"152 XP, 27 coins",None
2678,Engineering Task 2678: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"153 XP, 28 coins",None
2679,Fitness Task 2679: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"154 XP, 29 coins",None
2680,Education Task 2680: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"155 XP, 20 coins","Exclusive knowledge, priority access to research"
2681,Innovation Task 2681: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"156 XP, 21 coins",None
2682,Spiritual Task 2682: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"157 XP, 22 coins",None
2683,Education Task 2683: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"158 XP, 23 coins",None
2684,Governance Task 2684: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"159 XP, 24 coins",None
2685,Innovation Task 2685: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"160 XP, 25 coins",None
2686,Exploration Task 2686: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"161 XP, 26 coins",None
2687,Survival Task 2687: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"162 XP, 27 coins",None
2688,Spiritual Task 2688: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"163 XP, 28 coins",None
2689,Governance Task 2689: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"164 XP, 29 coins",None
2690,Fitness Task 2690: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"165 XP, 20 coins",None
2691,Engineering Task 2691: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"166 XP, 21 coins",None
2692,Exploration Task 2692: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"167 XP, 22 coins",None
2693,Social Task 2693: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"168 XP, 23 coins",None
2694,Survival Task 2694: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"169 XP, 24 coins",None
2695,Engineering Task 2695: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"170 XP, 25 coins",None
2696,Fitness Task 2696: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"171 XP, 26 coins",None
2697,Fitness Task 2697: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"172 XP, 27 coins",None
2698,Survival Task 2698: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"173 XP, 28 coins",None
2699,Exploration Task 2699: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"174 XP, 29 coins",None
2700,Fitness Task 2700: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"100 XP, 20 coins","Exclusive knowledge, priority access to research"
2701,Governance Task 2701: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"101 XP, 21 coins",None
2702,Fitness Task 2702: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"102 XP, 22 coins",None
2703,Creative Task 2703: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"103 XP, 23 coins",None
2704,Exploration Task 2704: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"104 XP, 24 coins",None
2705,Governance Task 2705: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"105 XP, 25 coins",None
2706,Spiritual Task 2706: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"106 XP, 26 coins",None
2707,Education Task 2707: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"107 XP, 27 coins",None
2708,Governance Task 2708: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"108 XP, 28 coins",None
2709,Engineering Task 2709: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"109 XP, 29 coins",None
2710,Survival Task 2710: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"110 XP, 20 coins",None
2711,Innovation Task 2711: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"111 XP, 21 coins",None
2712,Spiritual Task 2712: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"112 XP, 22 coins",None
2713,Creative Task 2713: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"113 XP, 23 coins",None
2714,Creative Task 2714: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"114 XP, 24 coins",None
2715,Fitness Task 2715: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"115 XP, 25 coins",None
2716,Social Task 2716: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"116 XP, 26 coins",None
2717,Engineering Task 2717: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"117 XP, 27 coins",None
2718,Survival Task 2718: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"118 XP, 28 coins",None
2719,Fitness Task 2719: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"119 XP, 29 coins",None
2720,Education Task 2720: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"120 XP, 20 coins","Exclusive knowledge, priority access to research"
2721,Exploration Task 2721: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"121 XP, 21 coins",None
2722,Innovation Task 2722: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"122 XP, 22 coins",None
2723,Governance Task 2723: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"123 XP, 23 coins",None
2724,Spiritual Task 2724: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"124 XP, 24 coins",None
2725,Engineering Task 2725: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"125 XP, 25 coins",None
2726,Survival Task 2726: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"126 XP, 26 coins",None
2727,Education Task 2727: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"127 XP, 27 coins",None
2728,Innovation Task 2728: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"128 XP, 28 coins",None
2729,Innovation Task 2729: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"129 XP, 29 coins",None
2730,Innovation Task 2730: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"130 XP, 20 coins",None
2731,Fitness Task 2731: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"131 XP, 21 coins",None
2732,Survival Task 2732: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"132 XP, 22 coins",None
2733,Education Task 2733: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"133 XP, 23 coins",None
2734,Creative Task 2734: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"134 XP, 24 coins",None
2735,Survival Task 2735: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"135 XP, 25 coins",None
2736,Fitness Task 2736: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"136 XP, 26 coins",None
2737,Exploration Task 2737: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"137 XP, 27 coins",None
2738,Governance Task 2738: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"138 XP, 28 coins",None
2739,Innovation Task 2739: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"139 XP, 29 coins",None
2740,Innovation Task 2740: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"140 XP, 20 coins","Exclusive knowledge, priority access to research"
2741,Fitness Task 2741: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"141 XP, 21 coins",None
2742,Social Task 2742: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"142 XP, 22 coins",None
2743,Innovation Task 2743: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"143 XP, 23 coins",None
2744,Creative Task 2744: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"144 XP, 24 coins",None
2745,Exploration Task 2745: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"145 XP, 25 coins",None
2746,Education Task 2746: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"146 XP, 26 coins",None
2747,Social Task 2747: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"147 XP, 27 coins",None
2748,Creative Task 2748: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"148 XP, 28 coins",None
2749,Survival Task 2749: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"149 XP, 29 coins",None
2750,Innovation Task 2750: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"150 XP, 20 coins",None
2751,Education Task 2751: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"151 XP, 21 coins",None
2752,Education Task 2752: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"152 XP, 22 coins",None
2753,Creative Task 2753: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"153 XP, 23 coins",None
2754,Engineering Task 2754: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"154 XP, 24 coins",None
2755,Exploration Task 2755: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"155 XP, 25 coins",None
2756,Engineering Task 2756: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"156 XP, 26 coins",None
2757,Exploration Task 2757: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"157 XP, 27 coins",None
2758,Governance Task 2758: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"158 XP, 28 coins",None
2759,Creative Task 2759: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"159 XP, 29 coins",None
2760,Creative Task 2760: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"160 XP, 20 coins","Exclusive knowledge, priority access to research"
2761,Survival Task 2761: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"161 XP, 21 coins",None
2762,Survival Task 2762: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"162 XP, 22 coins",None
2763,Governance Task 2763: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"163 XP, 23 coins",None
2764,Fitness Task 2764: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"164 XP, 24 coins",None
2765,Creative Task 2765: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"165 XP, 25 coins",None
2766,Fitness Task 2766: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"166 XP, 26 coins",None
2767,Exploration Task 2767: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"167 XP, 27 coins",None
2768,Creative Task 2768: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"168 XP, 28 coins",None
2769,Fitness Task 2769: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"169 XP, 29 coins",None
2770,Engineering Task 2770: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"170 XP, 20 coins",None
2771,Spiritual Task 2771: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"171 XP, 21 coins",None
2772,Education Task 2772: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"172 XP, 22 coins",None
2773,Survival Task 2773: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"173 XP, 23 coins",None
2774,Fitness Task 2774: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"174 XP, 24 coins",None
2775,Exploration Task 2775: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"100 XP, 25 coins",None
2776,Innovation Task 2776: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"101 XP, 26 coins",None
2777,Innovation Task 2777: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"102 XP, 27 coins",None
2778,Social Task 2778: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"103 XP, 28 coins",None
2779,Survival Task 2779: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"104 XP, 29 coins",None
2780,Spiritual Task 2780: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"105 XP, 20 coins","Exclusive knowledge, priority access to research"
2781,Creative Task 2781: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"106 XP, 21 coins",None
2782,Innovation Task 2782: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"107 XP, 22 coins",None
2783,Spiritual Task 2783: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"108 XP, 23 coins",None
2784,Education Task 2784: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"109 XP, 24 coins",None
2785,Fitness Task 2785: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"110 XP, 25 coins",None
2786,Creative Task 2786: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"111 XP, 26 coins",None
2787,Social Task 2787: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"112 XP, 27 coins",None
2788,Creative Task 2788: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"113 XP, 28 coins",None
2789,Fitness Task 2789: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"114 XP, 29 coins",None
2790,Exploration Task 2790: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"115 XP, 20 coins",None
